DEMAND;TREAT_DATE;TREATMENT_FLAG
36026098;25.10.2023 0:00;1
36073351;25.10.2023 0:00;1
37540360;25.10.2023 0:00;1
37540643;25.10.2023 0:00;0
37621229;25.10.2023 0:00;0
36277334;25.10.2023 0:00;1
36277556;25.10.2023 0:00;0
36843645;25.10.2023 0:00;0
36844134;25.10.2023 0:00;0
35352485;25.10.2023 0:00;0
35352537;25.10.2023 0:00;1
35352594;25.10.2023 0:00;0
36048547;25.10.2023 0:00;1
36096700;25.10.2023 0:00;1
36062722;25.10.2023 0:00;1
36141361;25.10.2023 0:00;0
36074202;25.10.2023 0:00;0
36074592;25.10.2023 0:00;0
36074677;25.10.2023 0:00;0
36074783;25.10.2023 0:00;0
36556338;25.10.2023 0:00;1
36556432;25.10.2023 0:00;0
36556943;25.10.2023 0:00;1
37541539;25.10.2023 0:00;1
37622019;25.10.2023 0:00;0
37622445;25.10.2023 0:00;1
37622592;25.10.2023 0:00;1
37594946;25.10.2023 0:00;0
37595234;25.10.2023 0:00;1
37595324;25.10.2023 0:00;0
36783322;25.10.2023 0:00;1
36783723;25.10.2023 0:00;1
36886037;25.10.2023 0:00;1
36993534;25.10.2023 0:00;0
36038344;25.10.2023 0:00;1
36018064;25.10.2023 0:00;0
37272761;25.10.2023 0:00;1
37272775;25.10.2023 0:00;0
36085856;25.10.2023 0:00;0
37417044;25.10.2023 0:00;0
36126997;25.10.2023 0:00;0
35595674;25.10.2023 0:00;0
35596026;25.10.2023 0:00;1
35596079;25.10.2023 0:00;0
35625897;25.10.2023 0:00;0
35626247;25.10.2023 0:00;0
35857613;25.10.2023 0:00;0
35858137;25.10.2023 0:00;0
35858571;25.10.2023 0:00;0
36127835;25.10.2023 0:00;0
36127873;25.10.2023 0:00;0
36132163;25.10.2023 0:00;0
36132258;25.10.2023 0:00;0
36155191;25.10.2023 0:00;0
36410589;25.10.2023 0:00;0
36493019;25.10.2023 0:00;0
36493169;25.10.2023 0:00;0
37401786;25.10.2023 0:00;1
37329422;25.10.2023 0:00;1
37329489;25.10.2023 0:00;1
37230327;25.10.2023 0:00;0
37230874;25.10.2023 0:00;0
37264536;25.10.2023 0:00;0
37264551;25.10.2023 0:00;0
37264896;25.10.2023 0:00;0
37408236;25.10.2023 0:00;0
34297791;25.10.2023 0:00;0
35654490;25.10.2023 0:00;0
36734443;25.10.2023 0:00;1
35639278;25.10.2023 0:00;1
35639556;25.10.2023 0:00;0
35674240;25.10.2023 0:00;1
35847910;25.10.2023 0:00;1
34914331;25.10.2023 0:00;0
35596385;25.10.2023 0:00;0
37302869;25.10.2023 0:00;0
36132894;25.10.2023 0:00;0
36155879;25.10.2023 0:00;0
36155896;25.10.2023 0:00;1
36155946;25.10.2023 0:00;0
36156227;25.10.2023 0:00;1
36190057;25.10.2023 0:00;0
36590242;25.10.2023 0:00;1
36591059;25.10.2023 0:00;0
36634477;25.10.2023 0:00;1
34910400;25.10.2023 0:00;0
34982303;25.10.2023 0:00;0
36411060;25.10.2023 0:00;1
36649539;25.10.2023 0:00;0
36493525;25.10.2023 0:00;1
37330575;25.10.2023 0:00;0
37231299;25.10.2023 0:00;0
37231691;25.10.2023 0:00;0
37265138;25.10.2023 0:00;1
37409149;25.10.2023 0:00;1
35655586;25.10.2023 0:00;1
36734505;25.10.2023 0:00;0
36734775;25.10.2023 0:00;0
36774350;25.10.2023 0:00;1
35640104;25.10.2023 0:00;1
35640156;25.10.2023 0:00;1
35674699;25.10.2023 0:00;0
35685986;25.10.2023 0:00;1
37286780;25.10.2023 0:00;1
37286807;25.10.2023 0:00;1
36039596;25.10.2023 0:00;0
36018207;25.10.2023 0:00;0
36018294;25.10.2023 0:00;1
37273497;25.10.2023 0:00;0
37273673;25.10.2023 0:00;0
37418711;25.10.2023 0:00;1
34914893;25.10.2023 0:00;0
34914997;25.10.2023 0:00;0
35627117;25.10.2023 0:00;1
36131835;25.10.2023 0:00;1
36133607;25.10.2023 0:00;0
36634763;25.10.2023 0:00;1
34911489;25.10.2023 0:00;0
36412452;25.10.2023 0:00;0
36412476;25.10.2023 0:00;1
36661935;25.10.2023 0:00;1
36662461;25.10.2023 0:00;0
36494152;25.10.2023 0:00;1
36494210;25.10.2023 0:00;0
34742221;25.10.2023 0:00;0
34744085;25.10.2023 0:00;1
36666856;30.10.2023 0:00;1
37345883;30.10.2023 0:00;0
37394291;30.10.2023 0:00;0
37346060;30.10.2023 0:00;0
37346595;30.10.2023 0:00;1
37395104;30.10.2023 0:00;1
36668082;30.10.2023 0:00;1
36668463;30.10.2023 0:00;0
36668470;30.10.2023 0:00;0
36668600;30.10.2023 0:00;1
37346933;30.10.2023 0:00;1
37395242;30.10.2023 0:00;0
36694988;30.10.2023 0:00;0
36695048;30.10.2023 0:00;1
36695057;30.10.2023 0:00;1
37348273;30.10.2023 0:00;1
36695578;30.10.2023 0:00;0
36695636;30.10.2023 0:00;0
36695727;30.10.2023 0:00;1
36695951;30.10.2023 0:00;1
37348691;30.10.2023 0:00;0
37349166;30.10.2023 0:00;1
37349317;30.10.2023 0:00;1
37404315;30.10.2023 0:00;0
37404352;30.10.2023 0:00;1
37304259;30.10.2023 0:00;1
37304288;30.10.2023 0:00;0
37349457;30.10.2023 0:00;0
37349645;30.10.2023 0:00;0
37349709;30.10.2023 0:00;0
37405367;30.10.2023 0:00;0
36697078;30.10.2023 0:00;1
36697088;30.10.2023 0:00;1
36699621;30.10.2023 0:00;1
36699792;30.10.2023 0:00;1
37304546;30.10.2023 0:00;0
37304598;30.10.2023 0:00;0
37304802;30.10.2023 0:00;0
37305298;30.10.2023 0:00;1
37357390;30.10.2023 0:00;1
37357694;30.10.2023 0:00;0
37437232;30.10.2023 0:00;0
37305984;30.10.2023 0:00;0
37305997;30.10.2023 0:00;0
37357989;30.10.2023 0:00;0
36700507;30.10.2023 0:00;0
36700655;30.10.2023 0:00;0
36700852;30.10.2023 0:00;1
36700902;30.10.2023 0:00;1
37359018;30.10.2023 0:00;1
36701415;30.10.2023 0:00;1
36701556;30.10.2023 0:00;1
37296879;30.10.2023 0:00;0
37297072;30.10.2023 0:00;0
37388413;30.10.2023 0:00;1
37297381;30.10.2023 0:00;1
37297447;30.10.2023 0:00;0
37297948;30.10.2023 0:00;0
37341267;30.10.2023 0:00;0
37341324;30.10.2023 0:00;0
37298102;30.10.2023 0:00;1
37298708;30.10.2023 0:00;1
37298938;30.10.2023 0:00;0
37342581;30.10.2023 0:00;0
37299822;30.10.2023 0:00;0
37299904;30.10.2023 0:00;1
37343189;30.10.2023 0:00;0
37300270;30.10.2023 0:00;0
37303686;30.10.2023 0:00;0
37303693;30.10.2023 0:00;0
37392153;30.10.2023 0:00;0
37392630;30.10.2023 0:00;0
37392812;30.10.2023 0:00;1
37303883;30.10.2023 0:00;1
37344506;30.10.2023 0:00;0
37393437;30.10.2023 0:00;0
36659595;30.10.2023 0:00;1
36570260;30.10.2023 0:00;0
36570280;30.10.2023 0:00;0
36570919;30.10.2023 0:00;1
36571316;30.10.2023 0:00;1
36571744;30.10.2023 0:00;0
36604970;30.10.2023 0:00;1
36605354;30.10.2023 0:00;1
36607108;30.10.2023 0:00;0
36607582;30.10.2023 0:00;0
36608594;30.10.2023 0:00;0
36609506;30.10.2023 0:00;1
36609629;30.10.2023 0:00;1
36609707;30.10.2023 0:00;0
36564954;30.10.2023 0:00;0
36564955;30.10.2023 0:00;0
36610251;30.10.2023 0:00;0
36565009;30.10.2023 0:00;1
36565119;30.10.2023 0:00;0
36611054;30.10.2023 0:00;0
36611357;30.10.2023 0:00;0
36611809;30.10.2023 0:00;0
36611836;30.10.2023 0:00;0
36611846;30.10.2023 0:00;0
36611875;30.10.2023 0:00;0
36612074;30.10.2023 0:00;0
36612212;30.10.2023 0:00;0
36612287;30.10.2023 0:00;1
36612600;30.10.2023 0:00;0
36612799;30.10.2023 0:00;0
36612980;30.10.2023 0:00;1
36567731;30.10.2023 0:00;0
36567930;30.10.2023 0:00;1
36651069;30.10.2023 0:00;1
36651078;30.10.2023 0:00;0
36656864;30.10.2023 0:00;0
36568808;30.10.2023 0:00;0
