PAYMENT_ID;PAY_STAMP;DEMAND
13987558;18.10.2023 17:12;35072400
14017760;20.10.2023 9:02;36764746
14025848;20.10.2023 19:07;37389598
14034783;21.10.2023 19:03;37712341
14086482;25.10.2023 7:03;37549942
13930425;15.10.2023 21:25;36767510
13973791;17.10.2023 21:24;37516563
14020187;20.10.2023 12:12;35693926
14022572;20.10.2023 15:01;37672841
14025863;20.10.2023 19:02;36410278
14036326;21.10.2023 22:12;36634761
13947167;16.10.2023 9:25;37027240
14035857;21.10.2023 21:17;34486484
14094926;25.10.2023 9:47;35566659
13954772;16.10.2023 19:36;36967197
14021364;20.10.2023 13:32;36367585
14023184;20.10.2023 15:43;34726234
14029900;21.10.2023 8:18;35539902
14036742;22.10.2023 0:09;37375525
14036857;22.10.2023 0:52;34733628
14036858;22.10.2023 0:52;35791003
14039206;22.10.2023 12:05;37384975
14021454;20.10.2023 13:40;35636384
14031861;21.10.2023 12:58;35906546
14036950;22.10.2023 1:35;35892276
13947868;16.10.2023 10:39;35302013
14024570;20.10.2023 17:21;35368017
14032587;21.10.2023 14:00;37893701
14034630;21.10.2023 18:42;34952182
14043579;22.10.2023 23:07;35482201
13947908;15.10.2023 9:24;37011525
14035072;21.10.2023 19:37;35436611
13951180;16.10.2023 14:46;36310771
14040010;22.10.2023 14:09;36460362
14042420;22.10.2023 20:05;35623298
14037596;21.10.2023 0:00;36610721
13928419;15.10.2023 17:29;36542653
13936538;16.10.2023 8:04;37069775
13990148;18.10.2023 21:21;37552760
13952347;16.10.2023 16:16;35380220
13990588;18.10.2023 22:00;36900551
14093091;25.10.2023 7:39;35415148
14093104;25.10.2023 7:41;35743065
14017430;20.10.2023 8:26;37669639
14078213;24.10.2023 10:09;36957335
13923958;15.10.2023 7:58;37318622
13932431;16.10.2023 6:30;37188153
13972811;17.10.2023 19:59;36334518
14039345;22.10.2023 12:28;36037566
14039649;22.10.2023 13:14;36963885
13924325;15.10.2023 8:26;36616626
13924354;15.10.2023 8:30;37174193
13947519;16.10.2023 10:14;36131350
14021284;20.10.2023 13:27;36303950
13973756;17.10.2023 21:21;37459341
